Halte_asal,Longitude,Latitude,Antar_halte,Halte_tujuan,waktu_antar_halte
Terminal Purabaya,112.725,-7.351,Terminal Purabaya,Halte Dukuh Menanggal,6
Halte Dukuh Menanggal,112.728,-7.343,Halte Dukuh Menanggal,Halte Siwalankerto,4
Halte Siwalankerto,112.729,-7.336,Halte Siwalankerto ,Halte Taman Pelangi,2
Halte Taman Pelangi,112.73,-7.329,Halte Taman Pelangi,Halte RS Bhayangkara,2
Halte RS Bhayangkara,112.731,-7.324,Halte RS Bhayangkara ,Halte Ubhara,2
Halte Ubhara,112.732,-7.321,Halte Ubhara,Halte Pusvetma,2
Halte Pusvetma,112.733,-7.315,Halte Pusvetma,Halte Ketintang,2
Halte Ketintang,112.732,-7.318,"Halte Ketintang",Terminal Intermoda Joyoboyo ,4
Terminal Intermoda Joyoboyo,112.736,-7.298,Terminal Intermoda Joyoboyo,Halte Museum BI,3
Halte Museum BI,112.738,-7.294,Halte Museum BI,Halte RS Darmo,2
Halte RS Darmo,112.739,-7.286,Halte RS Darmo,Halte Gozco,2
Halte Gozco,112.739,-7.283,Halte Gozco,Halte Pandegiling,3
Halte Pandegiling,112.741,-7.277,Halte Pandegiling,Halte Urip Sumoharji 1,5
Halte Urip Sumoharji 1,112.742,-7.273,Halte Urip Sumoharji 1,Halte Basra,6
Halte Basra,112.741,-7.271,Halte Basra,Halte Kaliasin,2
Halte Kaliasin,112.74,-7.264,Halte Kaliasin,Halte Embong Malang,2
Halte Embong Malang,112.734,-7.258,Halte Embong Malang,Halte Blauran,2
Halte Blauran,112.734,-7.254,Halte Blauran,Halte Pirngadi,2
Halte Pirngadi,112.734,-7.252,Halte Pirngadi,Halte Pasar Turi,3
Halte Pasar Turi,112.736,-7.245,Halte Pasar Turi,Halte Masjid Kemayoran,2
Halte Masjid Kemayoran,112.735,-7.243,Halte Masjid Kemayoran,Halte Indrapura,2
Halte Indrapura,112.732,-7.24,Halte Indrapura ,Halte Rajawali,2
Halte Rajawali,112.734,-7.233,Halte Rajawali,Halte Jembatan Merah,2
Halte Jembatan Merah,112.735,-7.235,Halte Jembatan Merah,Halte Veteran,2
Halte Veteran,112.737,-7.239,Halte Veteran,Halte Tugu Pahlawan,2
Halte Tugu Pahlawan,112.738,-7.243,Halte Tugu Pahlawan,Halte Alun Contong,3
Halte Alun Contong,112.736,-7.251,Halte Alun Contong,Halte Siola,4
Halte Siola,112.737,-7.257,Halte Siola,Halte Tunjungan,3
Halte Tunjungan,112.738,-7.259,Halte Tunjungan,Halte Simpang Dukuh,2
Halte Simpang Dukuh,112.742,-7.262,Halte Simpang Dukuh,Halte Gubernur Suryo,2
Halte Gubernur Suryo,112.744,-7.263,Halte Gubernur Suryo,Halte Pangsud,2
Halte RS Pangsud,112.743,-7.268,Halte Pangsud,Halte Sonokembang,2
Halte Sonokembang,112.743,-7.269,Halte Sonokembang,Halte Urip Sumoharjo 2,2
Halte Urip Sumoharjo 2,112.742,-7.273,Halte Urip Sumoharji 2,Halte Pandegiling 2,4
Halte Pandegiling 2,112.741,-7.277,Halte Pandegiling 2,Halte Santa Maria,6
Halte Santa Maria,112.74,-7.283,Halte Santa Maria,Halte Darmo,4
Halte Diponegoro,112.733,-7.282,Halte Darmo,Halte Marmoyo,4
Halte Marmoyo,112.739,-7.296,Halte Marmoyo,Halte Joyoboyo 2,2
Halte Joyoboyo 2,112.737,-7.298,Halte Joyoboyo 2,Halte RSAL,6
Halte RSAL,112.736,-7.307,Halte RSAL,Halte Margorejo,4
Halte Margorejo,112.734,-7.314,Halte Margorejo,Halte Wonocolo,3
Halte Wonocolo,112.734,-7.317,Halte Wonocolo,Halte UIN,4
Halte UIN,112.733,-7.321,Halte UIN,Halte Jenur Ngawinan,9
Halte Jenur Ngawinan,112.731,-7.328,Halte Jemur Ngawinan,Halte Siwalankerto 2,6
Halte Siwalankerto 2,112.729,-7.336,Halte Siwalankerto 2,Halte Kerto Menanggal,3
Halte Kerto Menanggal,112.729,-7.34,Halte Kertomenanggal,Terminal Purabaya,5
